principal component 1,principal component 2,target
-10.5931360313503,4.277279416822361,yellow
-5.693567040665384,5.046312703394192,yellow
-10.890675881259344,4.39227671997135,yellow
-10.774291612107438,4.116516815363893,yellow
-5.329164128899482,5.313193148054173,yellow
-10.75113896637855,3.9293773762665465,yellow
-5.260141030527613,6.496749583154495,yellow
-6.083104603180715,5.930541332388516,yellow
-10.642323450987016,4.055575501731148,yellow
-6.279629336991206,5.768677033409151,yellow
-10.506794078844283,4.380438785515297,yellow
-11.935048669034575,2.9865072175863436,yellow
-6.792027836718425,5.448086592224962,yellow
-11.709444911201569,3.89780299204981,yellow
-7.157026363039021,5.971332835146692,yellow
-5.51412140466077,5.897408128237581,yellow
-10.209460916265146,5.166239474246908,yellow
-5.086693425130594,5.808700332068192,yellow
-9.910522791422851,4.190594723333452,yellow
-9.461636966655043,4.063067491136217,yellow
-4.810487456536423,5.342525464898133,yellow
-9.240200345417424,3.7026018822267757,yellow
-4.421416837411272,5.850034510186797,yellow
-3.4365842559828303,5.547702153813762,yellow
-8.865701656186951,4.457330802373859,yellow
-4.830412035979167,5.397792124476368,yellow
-8.783407345924712,5.2394570302567685,yellow
-9.04451789450729,4.905852870576829,yellow
-3.758058150677819,6.741958460648634,yellow
-8.847704769282466,4.556852949630011,yellow
-3.9470738939368815,6.588206911999521,yellow
-4.915178703142418,6.330380195815721,yellow
-10.157214992379906,3.9148466663865182,yellow
-5.181568981857352,6.2986823441934625,yellow
-10.191723685497351,4.522965320664541,yellow
-9.752120413279073,4.637153638043252,yellow
-5.037849510979989,5.278816573264516,yellow
-10.092356154619063,4.195058839737066,yellow
-4.555883613876938,6.116936739763977,yellow
-5.105842499692965,6.062340815199587,yellow
-10.554353845120653,4.351534915645037,yellow
-5.564535386191308,5.765274952264007,yellow
-10.594258672856913,3.867210682701185,yellow
-10.333336971090596,3.868133933727057,yellow
-5.06147192024269,6.179650914388457,yellow
-10.630787015048924,3.5779669851103133,yellow
-5.539101000082631,6.4724903941290926,yellow
-5.187547511602585,6.080905636369953,yellow
-10.348072810541677,3.324534276600344,yellow
-5.217610430129163,5.4858388296355045,yellow
-10.404356856024668,4.3030739773376965,yellow
-10.70772852430311,3.8767058442173608,yellow
-4.631910913161044,6.549256711293199,yellow
-10.531712567454989,3.4958550296027644,yellow
-4.784007962397789,5.996818505107306,yellow
-4.604096070789864,5.784237281211834,yellow
-10.37643259465234,4.218901104494881,yellow
-4.75094490584176,5.391224587742526,yellow
-10.405569841364235,4.58705257432995,yellow
-10.538290495009353,3.942725000835547,yellow
-4.762112515365498,6.062161109082962,yellow
-10.293418445610964,4.844722267618261,yellow
-5.557794091919444,5.405310635980007,yellow
-5.066216956095315,5.616710569370093,yellow
-10.271103334400514,4.765001359257967,yellow
-5.309128606234983,5.646864912959552,yellow
-10.005915278293687,4.4026498193634644,yellow
-10.427544638161546,3.805841046366113,yellow
-4.7305066496656805,6.190280409928764,yellow
-10.316832326130934,4.144020326080884,yellow
-4.716279574472607,5.958449612035064,yellow
-4.59864724804359,6.292310373766881,yellow
-10.341154789327783,4.238981580295138,yellow
-4.4430924244211365,6.133772662294981,yellow
-10.168868721944357,3.997152102081395,yellow
-10.30899768222314,3.825691631441984,yellow
-4.794483422638471,5.582386637884475,yellow
-10.6806755327627,3.8898691214996037,yellow
-5.068994861503013,5.507890723970916,yellow
-4.845553439557568,5.387430776827205,yellow
-10.853949122490164,4.111074973282948,yellow
-4.794463498144754,6.170280348583989,yellow
-10.818448749371287,3.735550137293776,yellow
-10.200379326468322,4.626635824012167,yellow
-5.667029040890945,5.547508633111664,yellow
-10.261929137835445,4.743969182206774,yellow
-5.698537770110017,5.455251176550405,yellow
-5.38568753700115,5.51318889817978,yellow
-10.511135821593694,4.7261274032446225,yellow
-5.637559773788793,4.858987311015072,yellow
-10.436406749863892,4.468649440484615,yellow
-10.292752883935274,4.139660386613011,yellow
-5.500752184079415,5.164035396903289,yellow
-10.519258833213254,4.702961572163547,yellow
-5.216405874108423,6.099031677842479,yellow
-5.464783654680488,5.206919800602771,yellow
-10.818853791724969,3.8357053672750983,yellow
-5.514897842962652,4.769351377467391,yellow
-10.20344422361332,4.142785595395532,yellow
-10.472255123872415,3.7950498002952298,yellow
-5.4488501584670255,5.347360198328664,yellow
-10.375644535028606,4.3810364673172,yellow
-5.5171310547853665,5.286607401432657,yellow
-5.528122726535143,5.398909934442884,yellow
-10.895267253196977,3.9261124249055026,yellow
-5.54623982220191,6.4797475649850425,yellow
-10.50219613811445,4.43966100949375,yellow
-10.694293248711206,3.940530265975493,yellow
-5.4401658188031465,6.154327694189482,yellow
-10.53719709284831,3.810789389719564,yellow
-5.2219907741380105,6.479680687380934,yellow
-5.441506146187938,6.758006944365382,yellow
-10.292344832753173,4.584574766973308,yellow
-5.597807121541454,6.374499118044753,yellow
-10.419008676251517,4.525892609623981,yellow
-10.303929741387636,4.372962518749655,yellow
-5.771825611000853,5.433266329057556,yellow
-10.35558837251088,4.329255919260525,yellow
-5.779015739836447,5.449834251469138,yellow
-6.043753311487075,5.266541158800609,yellow
-10.181968252558901,3.9252553145564213,yellow
-5.632963542738585,5.415211693947191,yellow
-10.473607649563176,3.58752253901178,yellow
-10.352643542705874,3.5456508853850917,yellow
-5.658613528024198,4.864827828416164,yellow
-10.215897395268975,4.140026394721401,yellow
-4.763584122657296,6.362541655252044,yellow
-5.5093548383247395,4.925871652123142,yellow
-9.727705263651508,4.773535447207143,yellow
-5.240197014702451,5.602090243440454,yellow
-9.857205965555227,4.6776381737905375,yellow
-10.276642327638013,3.9333151206447106,yellow
-5.493197684455257,6.202824174219074,yellow
-10.384699772255054,3.1704325481724767,yellow
-5.6920604657894005,5.7873989761907225,yellow
-5.5629071053658405,6.4884069113913725,yellow
-10.381045332340246,3.369979218216981,yellow
-2.953798861200301,5.513419633939911,yellow
-10.505170086293457,3.3582860312448934,yellow
-10.080710463073146,3.173545762818867,yellow
-3.140711921675908,5.655287468975361,yellow
-9.993982616927134,3.101683880034818,yellow
-3.3588452067219383,4.896477606841373,yellow
-2.4508198952895417,6.047130276696501,yellow
-10.395213434006862,2.8180009077304105,yellow
-2.6799678687182,5.961358174892299,yellow
-10.42103063631392,2.7399715208452586,yellow
-10.305991883301509,3.278464367708507,yellow
-2.8045169939222805,5.380407905091586,yellow
-10.351763335288943,3.13862737994195,yellow
-3.3490693233717077,5.255528085529921,yellow
-2.7378864856755336,5.859454448983621,yellow
-10.560999733888728,2.5999489420456907,yellow
-2.6866670528244545,6.349265681032762,yellow
-10.483062883767026,2.7209386649055234,yellow
-10.234155272439002,2.846940787847057,yellow
-2.8922542944611753,4.759889806356985,yellow
-10.047683959054918,3.2470254130989122,yellow
-3.247836068310397,4.954298453471096,yellow
-3.1689205323846865,4.785873836012781,yellow
-10.508492290240653,3.1088066911767958,yellow
-2.722002642279526,5.398226320567089,yellow
-10.053157359842015,3.2263781396060454,yellow
-10.670697133176573,2.7405486887195956,yellow
-3.4165256274413633,5.2097045677519445,yellow
-9.9227076837246,3.3066319229211163,yellow
-2.9847574558163994,5.376977161484914,yellow
-2.991396975871075,4.777061087778975,yellow
-9.899003226753054,3.646498239555841,yellow
-3.177378793413064,5.49258286657172,yellow
-9.865052092168167,3.461168347666686,yellow
-10.642057301442012,2.869302243569019,yellow
-3.0206928241370377,5.552428796583483,yellow
-10.607200145805328,3.3059748119559886,yellow
-3.3124457245861945,5.560372480715414,yellow
-2.995982198164203,5.452998101739525,yellow
-10.007873263796947,3.3174796629647147,yellow
-3.059039723816443,5.659222130077941,yellow
-9.924316173618028,3.470860382236012,yellow
-10.23019034392806,2.871053801034482,yellow
-2.4937151718898196,5.72904284103658,yellow
-9.963779769252346,3.072917192310844,yellow
-2.7844479228656986,6.061501252458784,yellow
-3.18985603016987,4.987060106471965,yellow
-10.020771639626826,2.9620924212702864,yellow
-2.9396842188084777,5.242162874135909,yellow
-10.100572835507435,2.7305735156496556,yellow
-10.038245418483333,3.2638981247314653,yellow
-3.007580354034519,5.6049502707399785,yellow
-10.07141149283791,3.5917846873787114,yellow
-3.26699899136821,4.512520283258565,yellow
-3.414027583313024,4.922368872444925,yellow
-9.940493192622093,3.3220190627795807,yellow
-2.6335067519785382,5.979496249500289,yellow
-9.920317086235396,3.8190875160602196,yellow
-9.925493355020059,3.302669764733578,yellow
-3.103550811716936,5.0760520030833,yellow
-10.117612502887942,3.2029860377592976,yellow
-3.2531377522966087,4.781785547511477,yellow
-3.2835089960349264,4.798251030422279,yellow
-10.05198765570471,2.7289606611101136,yellow
-3.082300117423088,5.357533697927613,yellow
-10.0423299538201,3.2484217591513573,yellow
-10.1054139551226,3.269858307453784,yellow
-2.9646327126006558,5.658303824931808,yellow
-9.83531017158721,3.5548277427940937,yellow
-2.838709473960291,5.774845851866435,yellow
-3.323491490792074,5.6849238612695006,yellow
-10.267296963460424,3.2799588037704233,yellow
-3.3030190415124574,5.447185685043969,yellow
-10.115053278395276,3.5589309424816404,yellow
-10.1168371689333,3.204216580132609,yellow
-3.146550794379716,5.585985086937669,yellow
-9.767691523125423,3.5685818246741396,yellow
-3.526712147464443,4.541970487149147,yellow
-2.668211494272701,5.121006524646166,yellow
-10.549561105034515,3.1277320052157207,yellow
-3.50277769426577,4.9318698956159714,yellow
-10.485580317050054,3.1161093537038376,yellow
-9.975456875794873,3.1090324656241,yellow
-2.9892024627038953,5.232834600863219,yellow
-10.084140834819813,2.9571501410731686,yellow
-2.924373103348863,5.937233698466885,yellow
-2.9937496867631643,5.881882454812767,yellow
